iter	Recall	Logloss
0	0.9936425464	0.678650708
1	0.9934524564	0.6668591041
2	0.9934524564	0.6571625558
3	0.9934313353	0.6491177933
4	0.9934418958	0.6424156168
5	0.9933468508	0.6368416934
6	0.9932306847	0.6323082683
7	0.9932412453	0.6283256097
8	0.9932306847	0.6249504158
9	0.9932306847	0.6221024345
10	0.9932306847	0.6197740539
11	0.9932306847	0.6177030141
12	0.9932306847	0.6159298014
13	0.9932306847	0.6144384287
14	0.9932306847	0.6132122811
15	0.9932412453	0.6121044546
16	0.9932412453	0.6111627264
17	0.9932623664	0.6103650357
18	0.9932623664	0.6096781703
19	0.9932623664	0.6090979071
20	0.993367972	0.6086078611
21	0.9933785325	0.6081835618
22	0.993367972	0.6078277262
23	0.9932623664	0.607537988
24	0.993367972	0.6072756455
25	0.993272927	0.6070794086
26	0.9933574114	0.6068862526
27	0.993367972	0.6067233512
28	0.993367972	0.6066074095
29	0.9933574114	0.6065046636
30	0.9933785325	0.6064017477
31	0.9933785325	0.6063287536
32	0.9933785325	0.6062653868
33	0.993367972	0.6062176576
34	0.993367972	0.6061744055
35	0.993367972	0.6061297925
36	0.9933785325	0.6061006167
37	0.9933785325	0.6060765237
38	0.9933785325	0.6060446839
39	0.9933785325	0.6060144944
40	0.9933785325	0.6059951748
41	0.9933785325	0.6059840826
42	0.9933785325	0.6059696844
43	0.9933890931	0.6059633902
44	0.9934313353	0.6059530276
45	0.9934313353	0.6059368307
46	0.9934313353	0.6059285357
47	0.9934313353	0.6059184153
48	0.9934313353	0.6059113318
49	0.9934102142	0.6059011515
50	0.9933996536	0.6058931312
51	0.9934207747	0.605887283
52	0.9934313353	0.6058869971
53	0.9934313353	0.6058801462
54	0.9934418958	0.6058763918
55	0.9934418958	0.6058763184
56	0.9934418958	0.6058752006
57	0.9934418958	0.6058751208
58	0.9934313353	0.6058715861
59	0.9934418958	0.6058658086
60	0.9934418958	0.6058658016
61	0.9934524564	0.6058619457
62	0.9935052592	0.6058574788
63	0.9935052592	0.6058503503
64	0.9935052592	0.6058484563
65	0.9935052592	0.6058329987
66	0.9935052592	0.6058301999
67	0.9935052592	0.6058298602
68	0.9935052592	0.6058292389
69	0.9935052592	0.6058282624
70	0.9935052592	0.6058277411
71	0.9935052592	0.6058277188
72	0.9935052592	0.6058273974
73	0.9935263803	0.6058240943
74	0.9935263803	0.6058223447
75	0.9935263803	0.6058214403
76	0.9935263803	0.6058213875
77	0.9935263803	0.6058213688
78	0.9935369408	0.6058188106
79	0.9935369408	0.6058180705
80	0.9935369408	0.6058169885
81	0.9935369408	0.605807971
82	0.9935369408	0.6058058732
83	0.9935369408	0.6058058122
84	0.9935369408	0.6058034858
85	0.9935369408	0.6058022464
86	0.9935369408	0.6058001718
87	0.9935369408	0.6057990153
88	0.9935369408	0.6057974062
89	0.9935369408	0.6057963406
90	0.9935369408	0.6057955833
91	0.9935369408	0.6057923368
92	0.9935369408	0.6057920264
93	0.9935369408	0.6057910925
94	0.9935369408	0.6057901022
95	0.9935369408	0.6057901022
96	0.9935369408	0.6057900447
97	0.9935369408	0.6057898701
98	0.9935369408	0.6057862127
99	0.9935369408	0.6057842194
