iter	Passed	Remaining
0	107	10594
1	186	9124
2	299	9674
3	404	9715
4	509	9676
5	575	9011
6	618	8221
7	677	7796
8	747	7561
9	806	7262
10	859	6954
11	933	6843
12	1009	6754
13	1162	7138
14	1331	7545
15	1537	8073
16	1652	8066
17	1802	8209
18	1908	8134
19	1996	7984
20	2308	8684
21	2414	8560
22	2501	8373
23	2556	8095
24	2631	7893
25	2709	7711
26	2796	7561
27	2878	7400
28	2918	7145
29	2978	6950
30	3055	6799
31	3121	6632
32	3179	6456
33	3218	6248
34	3265	6064
35	3320	5903
36	3386	5765
37	3462	5649
38	3537	5533
39	3600	5400
40	3659	5265
41	3717	5134
42	3797	5034
43	3893	4955
44	3996	4884
45	4086	4797
46	4203	4740
47	4308	4667
48	4402	4582
49	4538	4538
50	4653	4471
51	4759	4393
52	4820	4274
53	4912	4185
54	5007	4096
55	5157	4052
56	5239	3952
57	5289	3830
58	5395	3749
59	5461	3640
60	5494	3512
61	5552	3403
62	5618	3299
63	5684	3197
64	5756	3099
65	5856	3016
66	5936	2923
67	5984	2816
68	6066	2725
69	6149	2635
70	6206	2535
71	6251	2431
72	6310	2333
73	6368	2237
74	6419	2139
75	6478	2045
76	6533	1951
77	6585	1857
78	6665	1771
79	6744	1686
80	6804	1596
81	6881	1510
82	6978	1429
83	7059	1344
84	7145	1261
85	7225	1176
86	7304	1091
87	7388	1007
88	7483	924
89	7557	839
90	7640	755
91	7712	670
92	7761	584
93	7800	497
94	7859	413
95	7891	328
96	7927	245
97	7971	162
98	8035	81
99	8102	0
